artist,categories,date_added,dated,description,dimensions,height,image,location,medium,price,title,url,width
Larry Clark,insunsh,2015-11-07,1958-1986,,"12 x 7 15/16 in. (30.48 x 20.16 cm) (image)
13 7/8 x 10 15/16 in. (35.24 x 27.78 cm) (sheet)",20.16,http://pstrial-2019-12-16.toscrape.com/content/22190.jpg,Not on View,Gelatin silver print,126.22,"Koko and Kiko, Brothers, 42 Boys",http://pstrial-2019-12-16.toscrape.com/item/22190/Koko_and_Kiko_Brothers_42_Boys?back=155,30.48
Unknown Roman,insunsh,2008-08-26,120–50 BCE,"after Polykleitos, Roman copy of Greek original, the original  executed in bronze, c.440 BCE; one of four known extant copies",78 x 19 x 19 in. (198.12 x 48.26 x 48.26 cm),,http://pstrial-2019-12-16.toscrape.com/content/22093.jpg,G230,Pentelic marble,238.53,The Doryphoros,http://pstrial-2019-12-16.toscrape.com/item/22093/The_Doryphoros?back=155,
Gerome Kamrowski,insunsh,2016-09-03,1945,Abstraction. Surrealism.,71 3/4 x 48 in. (182.2 x 121.9 cm),121.9,http://pstrial-2019-12-16.toscrape.com/content/21920.jpg,G376,Oil on canvas,713.4,The Competitive Lover,http://pstrial-2019-12-16.toscrape.com/item/21920/The_Competitive_Lover?back=155,182.2
Abdullah Frères,insunsh,2013-12-08,19th century,,"7 7/8 x 10 in. (20 x 25.4 cm) (image)
11 x 14 in. (27.94 x 35.56 cm) (mount)",25.4,http://pstrial-2019-12-16.toscrape.com/content/21894.jpg,Not on View,Albumen print,298.68,Vue Panoramique Prise de la Citadelle,http://pstrial-2019-12-16.toscrape.com/item/21894/Vue_Panoramique_Prise_de_la_Ci?back=155,20.0
,insunsh,2012-10-14,c. 1680,"Krishna stands on left and converses with Radha, who is seated at our right.  They are located within an Islamicate court with a landscape in the background and lambs at the lower right.",8 3/4 x 6 in. (22.23 x 15.24 cm),15.24,http://pstrial-2019-12-16.toscrape.com/content/21870.jpg,Not on View,Opaque watercolor on paper,826.27,Krishna and Radha,http://pstrial-2019-12-16.toscrape.com/item/21870/Krishna_and_Radha?back=155,22.23
Abdullah Frères,insunsh,2009-02-09,19th century,,"8 1/16 x 10 3/16 in. (20.48 x 25.88 cm) (image)
11 x 14 in. (27.94 x 35.56 cm) (mount)",25.88,http://pstrial-2019-12-16.toscrape.com/content/21818.jpg,Not on View,Albumen print,38.85,Boutiques Arabes,http://pstrial-2019-12-16.toscrape.com/item/21818/Boutiques_Arabes?back=155,20.48
,insunsh,2009-01-23,19th century,,2 x 8 x 8 in. (5.08 x 20.32 x 20.32 cm),,http://pstrial-2019-12-16.toscrape.com/content/21765.jpg,Not on View,Pewter,799.77,Basin,http://pstrial-2019-12-16.toscrape.com/item/21765/Basin?back=155,
,insunsh,2016-11-21,19th century,"8 brass weights in case, set of eight brass weights in a brass case with ornamented latch and hinge, punched decoration in bands around outside of case, marks of certification stamped on top of lid",1 1/2 x 2 5/8 x 2 1/4in. (3.8 x 6.7 x 5.7cm),,http://pstrial-2019-12-16.toscrape.com/content/21720.jpg,Not on View,Brass,769.51,Brass Weights,http://pstrial-2019-12-16.toscrape.com/item/21720/Brass_Weights?back=155,
,insunsh,2014-08-22,19th century,"towel scarf of sheer mercerized silk gauze self-striped in groups of three wide and six narrow stripes, embroidered at each end with four vertical floral and leaf units in pale blue, cream and gilt thread; the colors of the flowers are alternated, two being cream and two blue; the ends are finished with silk fringe beneath a line of gilt stitching; silk and gilt on cotton",50 1/2 x 17 3/4 in. (128.27 x 45.1 cm),45.1,http://pstrial-2019-12-16.toscrape.com/content/21513.jpg,Not on View,"Cotton, silk, gilt; needlework",319.92,Towel scarf,http://pstrial-2019-12-16.toscrape.com/item/21513/Towel_scarf?back=155,128.27
"Larsen Design Studio,Gessner A G,Jack Lenor Larsen, Inc.",insunsh,2015-07-29,1978,"Horiz. rows of 7"" Art Nouveau style flares. White & goldish tan Shell",overall (Overcast on all 4 sides.): 12 x 8 3/4 in. (30.48 x 22.23 cm),22.23,http://pstrial-2019-12-16.toscrape.com/content/23195.jpg,Not on View,Cotton,862.77,Canterbury *,http://pstrial-2019-12-16.toscrape.com/item/23195/Canterbury_?back=155,30.48
"Larsen Design Studio,Wendy Klein,Griswold Textile Print, Inc.,Jack Lenor Larsen, Inc.",insunsh,2011-09-01,1972,"Art Nouveau style vines and flowers.  Vert. rpt. 40"".  Chintz. Blue, tan, purple, cream Moonstar",overall (Untrimmed): 65 3/4 x 52 in. (167.01 x 132.08 cm),132.08,http://pstrial-2019-12-16.toscrape.com/content/23173.jpg,Not on View,Cotton; dyed,206.73,Sylphide,http://pstrial-2019-12-16.toscrape.com/item/23173/Sylphide?back=155,167.01
,insunsh,2017-07-17,Date Unknown,"brown and black textile decorated with stripes and geometric designs, including triangles along the edges and stars toward the center; shorter edges have fringe; constructed of seven long strips stitched together",52 1/4 x 37 1/2 in. (132.72 x 95.25 cm),95.25,http://pstrial-2019-12-16.toscrape.com/content/23067.jpg,Not on View,Cotton,656.43,Mud cloth skirt,http://pstrial-2019-12-16.toscrape.com/item/23067/Mud_cloth_skirt?back=155,132.72
